testID, questionID, MC, POINTS, CORRECT, gptRATE, gptTOPIC,,,,,,,,,,,,,
21-11-22-A, Q1,,2,1,[2,3,4,1,5,3,5,2,4,2, 3], [Exponents, Fractional Powers],,
21-11-22-A, Q2,,2,1,[2,3,5,1,5,2,5,2,3,2, 3], [Differentiation, Polynomial Functions],,
21-11-22-A, Q3,,3,1,[3,3,5,2,5,3,5,2,3,2, 4], [Arithmetic Sequences, Sequences and Series],,
21-11-22-A, Q4,,3,1,[3,4,5,2,5,3,5,2,4,3, 3], [Limits, Continuity, Piecewise Functions],
21-11-22-A, Q5,,3,1,[3,3,5,2,5,3,5,2,3,2, 4], [Sequences and Series, Recursive Sequences],,
21-11-22-A, Q6,,3,0,[4,4,5,2,5,3,5,2,4,3, 3], [Polynomials, Cubic Equations, Roots],
21-11-22-A, Q7,,3,0,[4,4,5,2,5,3,5,2,4,3, 3], [Trigonometry, Trigonometric Equations],,
21-11-22-A, Q8,,3,0,[4,4,5,2,5,3,5,2,4,3, 4], [Area, Integration, Quadratic Functions],
21-11-22-A, Q9,,4,1,[4,4,5,2,5,3,5,2,4,3, 4], [Exponential Functions, Systems of Equations, Geometry],
21-11-22-A, Q10,,4,0,[4,4,5,2,5,3,5,2,4,3, 4], [Differentiation, Cubic Functions, Tangents],
21-11-22-A, Q11,,4,0,[5,5,5,2,5,4,5,2,5,4, 5], [Trigonometry, Geometry, Tangents, Equilateral Triangles]
21-11-22-A, Q12,,4,1,[4,4,5,2,5,3,5,2,4,3, 4], [Functional Equations, Continuity, Algebra],
21-11-22-A, Q13,,4,0,[5,4,5,2,5,3,5,2,5,4, 5], [Logarithms, Exponential Functions, Algebra],
21-11-22-A, Q14,,4,0,[5,4,5,2,5,4,5,2,5,4, 4], [Differentiation, Velocity, Integral Calculus, Motion]
21-11-22-A, Q15,,4,1,[5,5,5,2,5,4,5,2,5,4, 5], [Geometry, Circle Theorems, Trigonometry],
21-11-22-A, Q16,,3,1,[3,3,5,1,5,2,5,2,3,2, 3], [Logarithms, Algebra],,
21-11-22-A, Q17,,3,1,[2,3,5,1,5,2,5,2,3,2, 3], [Differentiation, Integration, Polynomial Functions],
21-11-22-A, Q18,,3,1,[3,3,5,2,5,3,5,2,3,2, 4], [Sequences and Series, Algebra],,
21-11-22-A, Q19,,3,1,[4,4,5,2,5,3,5,2,4,3, 4], [Differentiation, Polynomial Functions, Critical Points],
21-11-22-A, Q20,,4,0,[4,4,5,2,5,3,5,2,4,3, 4], [Integration, Differentiation, Functional Equations],
21-11-22-A, Q21,,4,0,[3,3,5,2,5,3,5,2,3,2, 4], [Sequences and Series, Geometric Progression],,
21-11-22-A, Q22,,4,0,[4,4,5,2,5,3,5,2,4,3, 4], [Cubic Functions, Derivatives, Real Roots],
21-11-22-A, Q23,,2,1,[2,2,5,1,5,1,5,2,3,2, 2], [Binomial Expansion],,,
21-11-22-A, Q24,,3,1,[3,3,5,2,5,3,5,2,3,2, 3], [Probability, Binomial Distribution, Variance],
21-11-22-A, Q25,,3,0,[4,3,5,2,5,3,5,2,4,3, 3], [Diophantine Equations, Combinatorics],,
21-11-22-A, Q26,,3,1,[4,4,5,2,5,3,5,2,4,3, 4], [Combinatorics, Probability, Counting],
21-11-22-A, Q27,,3,1,[5,4,5,2,5,3,5,2,4,3, 4], [Statistics, Confidence Interval, Normal Distribution],
21-11-22-A, Q28,,4,0,[4,4,5,2,5,3,5,2,4,3, 4], [Combinatorics, Functions, Set Theory],
21-11-22-A, Q29,,4,0,[4,4,5,2,5,3,5,2,4,3, 4], [Probability, Continuous Random Variables, Integration],
21-11-22-A, Q30,,4,0,[4,4,5,2,5,3,5,2,4,3, 4], [Probability, Random Variables, Combinatorics],
