testID, questionID, MC, POINTS, CORRECT, gptRATE, gptTOPIC,,,,,,,,,,,,,,
18-11-16-A, Q1,,2,1,[2,2,4,1,5,2,5,2,3,3, 3], [Exponents, Fractional Powers, Multiplication],,
18-11-16-A, Q2,,2,1,[2,2,4,1,5,2,5,2,3,3, 3], [Set Theory, Set Difference],,,
18-11-16-A, Q3,,2,1,[3,3,5,2,5,3,5,3,4,3, 4], [Limits, Rational Functions],,,
18-11-16-A, Q4,,3,0,[3,3,4,3,4,3,5,3,4,3, 4], [Function Composition, Function Evaluation],,,
18-11-16-A, Q5,,3,1,[3,3,4,3,5,3,5,3,4,3, 4], [Arithmetic Sequences, Sequence Terms],,,
18-11-16-A, Q6,,3,1,[3,3,5,3,5,3,5,3,4,3, 4], [Binomial Theorem, Polynomial Expansion, Coefficients],,
18-11-16-A, Q7,,3,1,[3,3,4,3,4,3,5,3,4,3, 4], [Limits, Left-Hand Limits, Right-Hand Limits, Function Graph Interpretation],
18-11-16-A, Q8,,3,1,[3,4,5,3,5,3,5,3,4,3, 4], [Probability, Mutually Exclusive Events, Complements, Intersection of Events],
18-11-16-A, Q9,,3,1,[4,4,5,3,5,3,5,3,4,3, 4], [Derivatives, Maxima and Minima, Polynomial Functions],,
18-11-16-A, Q10,,3,0,[4,4,5,3,5,3,5,3,4,3, 4], [Probability, Probability Density Function, Integration],,
18-11-16-A, Q11,,3,1,[4,4,5,3,5,3,5,3,4,3, 4], [Inequalities, Logical Implications, Quadratic Inequality],,
18-11-16-A, Q12,,3,0,[4,4,5,3,5,3,5,3,4,3, 4], [Statistics, Confidence Interval, Normal Distribution, Z-Scores],
18-11-16-A, Q13,,3,1,[4,4,5,3,5,3,5,3,4,3, 4], [Recurrence Relations, Sequences, Summation],,
18-11-16-A, Q14,,4,0,[4,4,5,3,5,3,5,3,4,3, 4], [Calculus, Derivatives, Fundamental Theorem of Calculus, Integration],
18-11-16-A, Q15,,4,1,[4,4,5,3,5,3,5,3,4,3, 4], [Logarithms, Natural Numbers, Exponents],,
18-11-16-A, Q16,,4,1,[5,5,5,4,5,3,5,3,4,3, 4], [Geometry, Limits, Circles, Areas, Infinite Series]
18-11-16-A, Q17,,4,1,[5,5,5,4,5,3,5,3,4,3, 4], [Calculus, Integration, Periodic Functions, Area under Curves],
18-11-16-A, Q18,,4,1,[5,5,5,4,5,3,5,3,4,3, 4], [Probability, Random Walk, Conditional Probability],,
18-11-16-A, Q19,,4,1,[5,5,5,4,5,3,5,3,4,3, 4], [Combinatorics, Functions, Set Theory, Counting Principles],
18-11-16-A, Q20,,4,1,[5,5,5,4,5,3,5,3,4,3, 4], [Functions, Asymptotes, Intersections, Geometry, Coordinate Geometry]
18-11-16-A, Q21,,4,1,[5,5,5,4,5,3,5,3,4,3, 4], [Functions, Cubic Functions, Continuous Functions, Equations, Algebra]
18-11-16-A, Q22,,3,1,[3,3,5,2,5,2,5,2,3,3, 3], [Permutations, Combinations, Basic Counting Principles],,
18-11-16-A, Q23,,3,1,[3,3,5,2,5,2,5,2,3,3, 3], [Calculus, Derivatives, Polynomial Functions],,
18-11-16-A, Q24,,3,1,[4,4,4,3,5,3,5,3,4,3, 4], [Geometric Sequences, Series, Algebra],,
18-11-16-A, Q25,,3,1,[4,4,4,3,5,3,5,3,4,3, 4], [Calculus, Integration, Absolute Value Functions],,
18-11-16-A, Q26,,4,1,[5,5,5,4,5,3,5,3,4,3, 4], [Functions, Graphs, Intersection, Algebra, Square Roots]
18-11-16-A, Q27,,4,1,[4,4,5,3,5,3,5,3,4,3, 4], [Kinematics, Calculus, Acceleration, Derivatives, Polynomials]
18-11-16-A, Q28,,4,0,[5,5,5,3,5,3,5,3,4,3, 4], [Probability, Combinatorics, Permutations, Arrangements],
18-11-16-A, Q29,,4,1,[4,5,5,3,5,3,5,3,5,3, 5], [Sequences, Arithmetic Sequences, Geometric Sequences, Absolute Value],
18-11-16-A, Q30,,4,1,[4,4,4,3,4,3,5,3,5,3, 5], [Cubic Functions, Quadratic Functions, Tangents, Slopes, Inequalities]
