testID, questionID, MC, POINTS, CORRECT, gptRATE, gptTOPIC,,,,,,,,,,,,
19-11-15-A, Q1,,2,1,[3,2,5,1,5,2,5,2,4,2, 3], [Vector Operations, Linear Algebra],
19-11-15-A, Q2,,2,1,[4,4,5,2,5,2,5,3,5,2, 4], [Limits, Calculus],
19-11-15-A, Q3,,2,1,[4,3,5,3,5,3,5,3,5,2, 4], [Coordinate Geometry, Distance Formula],
19-11-15-A, Q4,,3,1,[3,3,5,2,5,2,5,3,4,3, 4], [Polynomial Expansions, Binomial Theorem],
19-11-15-A, Q5,,3,1,[4,4,5,3,5,3,5,3,5,2, 4], [Implicit Differentiation, Calculus],
19-11-15-A, Q6,,3,1,[3,3,5,2,5,3,5,3,4,3, 3], [Probability, Combinatorics],
19-11-15-A, Q7,,3,1,[4,4,5,3,5,3,5,4,5,3, 4], [Trigonometric Equations, Inequalities],
19-11-15-A, Q8,,3,0,[4,4,5,3,5,2,5,3,5,3, 4], [Definite Integrals, Calculus],
19-11-15-A, Q9,,3,1,[4,4,5,3,5,3,5,3,5,2, 4], [Parametric Equations, Calculus],
19-11-15-A, Q10,,3,0,[4,4,5,3,5,3,5,3,5,2, 4], [Trigonometry, Geometry],
19-11-15-A, Q11,,3,0,[4,3,5,3,5,3,5,3,4,3, 4], [Differentiation, Calculus],
19-11-15-A, Q12,,3,1,[5,5,5,3,5,4,5,4,5,2, 4], [Integration, Volume of Solids],
19-11-15-A, Q13,,3,0,[5,4,5,4,5,4,5,4,5,3, 5], [Ellipses, Geometry, Area Calculation]
19-11-15-A, Q14,,4,0,[4,3,5,3,5,4,5,3,5,3, 4], [Probability, Statistics, Variance]
19-11-15-A, Q15,,4,0,[4,3,5,3,5,3,5,3,5,3, 4], [Exponential Functions, Geometry, Perpendicular Lines]
19-11-15-A, Q16,,4,1,[4,3,5,2,5,3,5,3,4,3, 4], [Combinatorics, Diophantine Equations],
19-11-15-A, Q17,,4,1,[5,4,5,3,5,3,5,4,5,3, 5], [Geometric Optimization, Triangle Geometry],
19-11-15-A, Q18,,4,0,[5,3,5,3,5,3,5,3,4,3, 4], [Normal Distribution, Probability],
19-11-15-A, Q19,,4,0,[5,4,5,4,5,4,5,4,5,3, 5], [Circle Geometry, Lengths, Geometric Relationships]
19-11-15-A, Q20,,4,0,[4,4,5,3,5,3,5,3,4,3, 4], [Probability, Combinatorics],
19-11-15-A, Q21,,4,0,[5,4,5,4,5,4,5,4,5,3, 5], [Differentiability, Integrals, Functions]
19-11-15-A, Q22,,3,1,[3,3,5,2,5,3,5,3,4,3, 3], [Differentiation, Logarithmic Functions],
19-11-15-A, Q23,,3,1,[3,3,5,2,5,3,5,3,4,3, 3], [Binomial Distribution, Statistics],
19-11-15-A, Q24,,3,1,[5,4,5,3,5,3,5,4,5,2, 5], [Geometry, Limits, Circle Tangency]
19-11-15-A, Q25,,3,0,[4,4,5,3,5,3,5,3,4,3, 4], [Probability, Binomial Distribution, Combinatorics]
19-11-15-A, Q26,,4,1,[5,4,5,4,5,3,5,3,5,3, 5], [Inverse Functions, Differentiation, Chain Rule]
19-11-15-A, Q27,,4,0,[5,4,5,3,5,3,5,4,5,3, 5], [Geometric Projections, Tetrahedron, Area Calculation]
19-11-15-A, Q28,,4,0,[5,4,5,3,5,3,5,3,5,3, 4], [Combinatorics, Counting Principles],
19-11-15-A, Q29,,4,0,[5,4,5,3,5,3,5,4,5,3, 5], [Geometry, Volume, Tetrahedron]
19-11-15-A, Q30,,4,0,[5,4,5,3,5,3,5,3,5,3, 5], [Curve Intersection, Differentiation, Function Calculation]
