testID, questionID, MC, POINTS, CORRECT, gptRATE, gptTOPIC,,,,,,,,,,,,,
14-11-15-B, Q1,,2,1,[2,3,4,2,5,2,5,2,3,3, 3], [Matrix Addition],,,
14-11-15-B, Q2,,2,1,[3,4,5,2,5,3,5,2,3,3, 4], [Limits, Logarithmic Functions],,
14-11-15-B, Q3,,2,1,[3,4,5,2,5,3,5,2,3,3, 4], [Trigonometric Functions, Maximum and Minimum Values],,
14-11-15-B, Q4,,3,1,[3,3,5,2,5,3,5,2,3,3, 3], [Integration, Power Functions],,
14-11-15-B, Q5,,3,1,[4,4,5,3,5,4,5,2,3,3, 4], [Coordinate Geometry, Section Formula],,
14-11-15-B, Q6,,3,1,[4,4,5,3,5,4,5,2,3,3, 4], [Matrix Multiplication, Linear Transformations],,
14-11-15-B, Q7,,3,1,[4,4,5,3,5,3,5,2,3,3, 4], [Geometric Sequences, Series],,
14-11-15-B, Q8,,3,0,[4,4,5,3,5,3,5,2,3,3, 4], [Probability, Set Theory],,
14-11-15-B, Q9,,3,1,[5,4,5,2,5,4,5,2,3,3, 5], [Limits, Riemann Sums, Integration],
14-11-15-B, Q10,,3,1,[5,4,5,3,5,4,5,2,3,3, 5], [Parabolas, Geometric Properties, Intersection Points],
14-11-15-B, Q11,,3,1,[4,4,5,3,5,3,5,2,3,3, 4], [Probability, Normal Distribution],,
14-11-15-B, Q12,,3,1,[5,4,5,3,5,4,5,2,3,3, 5], [Geometry, Perpendicular Distances, 3D Geometry],
14-11-15-B, Q13,,3,1,[5,4,5,3,5,4,5,2,3,3, 5], [Exponential Functions, Limits],,
14-11-15-B, Q14,,4,1,[5,4,5,3,5,4,5,2,3,3, 5], [Exponential Functions, Tangents, Geometry],
14-11-15-B, Q15,,4,0,[5,4,5,3,5,3,5,2,3,3, 5], [Probability, Conditional Probability, Proportions],
14-11-15-B, Q16,,4,1,[4,4,5,3,5,4,5,2,3,3, 4], [Matrix Algebra, Matrix Properties],,
14-11-15-B, Q17,,4,1,[5,4,5,3,5,4,5,2,3,3, 5], [Sequences, Factorial Sequences, Recursions],
14-11-15-B, Q18,,4,1,[4,4,5,3,5,3,5,2,3,3, 5], [Probability, Expected Value, Random Variables],
14-11-15-B, Q19,,4,1,[5,4,5,3,5,4,5,2,3,3, 5], [3D Geometry, Dot Product, Perpendicularity],
14-11-15-B, Q20,,4,1,[5,4,5,3,5,4,5,2,3,3, 5], [Geometry, Limits, Trigonometry, Circles]
14-11-15-B, Q21,,4,1,[5,4,5,3,5,4,5,2,3,3, 5], [Geometry, Algebra, Coordinate Geometry, Area Inequalities]
14-11-15-B, Q22,,3,1,[2,3,5,2,5,2,5,2,3,3, 3], [Logarithms, Exponentiation, Algebra],
14-11-15-B, Q23,,3,1,[2,3,5,2,5,2,5,2,3,3, 3], [Differentiation, Functions, Exponentials],
14-11-15-B, Q24,,3,1,[3,4,5,3,5,3,5,2,3,3, 5], [Radicals, Quadratic Equations, Solving Equations],
14-11-15-B, Q25,,3,1,[3,4,4,2,5,3,5,2,3,3, 4], [Logarithmic Functions, Signal Processing, Ratios],
14-11-15-B, Q26,,4,1,[4,3,5,3,4,3,5,2,3,4, 5], [Number Theory, Odd Numbers, Inequalities],
14-11-15-B, Q27,,4,1,[4,3,5,4,3,4,5,3,4,5, 4], [Ellipses, Geometry, Trigonometry],
14-11-15-B, Q28,,4,1,[4,4,5,3,4,4,5,3,5,4, 4], [Integrals, Exponential Functions, Area Calculation],
14-11-15-B, Q29,,4,1,[4,4,4,2,4,5,5,3,4,4, 4], [Geometry, Spheres, Circles, Projection]
14-11-15-B, Q30,,4,1,[4,5,4,3,5,4,4,5,3,4, 5], [Calculus, Differentiability, Absolute Functions],
