testID, questionID, MC, POINTS, CORRECT, gptRATE, gptTOPIC,,,,,,,,,,,,,
16-11-19-B, Q1,,2,1,[2,3,5,1,5,2,5,3,4,2, 2], [Vector Operations, Arithmetic Operations],,
16-11-19-B, Q2,,2,0,[3,3,5,2,5,3,5,4,3,3, 4], [Limits, Exponential Functions],,
16-11-19-B, Q3,,2,1,[2,3,5,1,5,2,5,3,4,2, 3], [Integrals, Trigonometric Functions],,
16-11-19-B, Q4,,3,1,[3,4,5,2,5,3,5,4,4,3, 3], [Probability Theory, Conditional Probability],,
16-11-19-B, Q5,,3,1,[2,3,5,2,5,2,5,3,4,2, 2], [Combinatorics, Number Theory],,
16-11-19-B, Q6,,3,1,[4,4,5,3,5,3,5,4,4,4, 5], [Functions, Inverse Functions, Derivatives],
16-11-19-B, Q7,,3,1,[3,3,5,2,5,3,5,4,4,3, 3], [Probability Theory, Combinatorics],,
16-11-19-B, Q8,,3,0,[4,4,5,3,5,3,5,4,4,4, 4], [Coordinate Geometry, Ratio, Line Segments],
16-11-19-B, Q9,,3,1,[3,3,5,2,5,3,5,4,3,3, 4], [Integrals, Logarithmic Functions],,
16-11-19-B, Q10,,3,1,[4,4,5,3,5,3,5,4,4,4, 4], [Motion, Derivatives, Parametric Equations],
16-11-19-B, Q11,,3,1,[4,4,5,3,5,4,5,4,4,3, 5], [Calculus, Volume, Solids of Revolution],
16-11-19-B, Q12,,3,1,[4,4,5,3,5,3,5,4,4,4, 4], [Vectors, Planes, Trigonometry],
16-11-19-B, Q13,,3,1,[5,4,5,3,5,3,5,4,4,3, 4], [Probability Theory, Normal Distribution, Statistics],
16-11-19-B, Q14,,4,1,[5,4,5,4,5,3,5,4,5,4, 5], [Geometry, Limits, Trigonometry],
16-11-19-B, Q15,,4,1,[5,4,5,3,5,3,5,4,5,4, 5], [Calculus, Derivatives, Geometry, Optimization]
16-11-19-B, Q16,,4,1,[5,4,5,3,5,3,5,4,5,4, 5], [Vectors, Dot Product, Distance, Geometry]
16-11-19-B, Q17,,4,1,[5,5,5,3,5,3,5,4,4,3, 4], [Combinatorics, Probability Theory, Expectation, Random Variables]
16-11-19-B, Q18,,4,1,[5,5,5,3,5,3,5,4,4,3, 5], [Normal Distribution, Probability Theory, Z-scores, Statistics]
16-11-19-B, Q19,,4,1,[5,5,5,4,5,3,5,4,4,3, 5], [Conic Sections, Geometry, Tangent Lines, Ellipse]
16-11-19-B, Q20,,4,1,[5,4,5,4,5,3,5,4,4,3, 5], [Calculus, Integrals, Derivatives, Analysis]
16-11-19-B, Q21,,4,1,[5,4,5,3,5,3,5,4,4,3, 5], [Calculus, Integrals, Analysis],
16-11-19-B, Q22,,3,1,[2,2,5,1,5,1,5,2,2,1, 2], [Mathematical Constants, Harmonic Numbers],,
16-11-19-B, Q23,,3,1,[3,3,5,2,5,2,5,3,3,3, 3], [Inequalities, Exponents, Algebra],
16-11-19-B, Q24,,3,1,[5,4,5,3,5,3,5,4,4,3, 5], [Geometry, Tangency, Planes, Spheres]
16-11-19-B, Q25,,3,1,[5,4,5,3,5,3,5,4,4,3, 5], [Trigonometry, Equations, Solutions],
16-11-19-B, Q26,,4,1,[5,5,5,4,5,3,5,4,4,3, 5], [Probability, Combinatorics, Card Draws],
16-11-19-B, Q27,,4,1,[5,4,5,3,5,3,5,4,4,3, 5], [Number Theory, Modular Arithmetic, Divisibility, Combinatorics]
16-11-19-B, Q28,,4,1,[5,4,5,3,5,4,5,4,4,3, 5], [Conic Sections, Hyperbolas, Geometry],
16-11-19-B, Q29,,4,1,[5,4,5,3,5,4,5,4,4,3, 5], [Vectors, Geometry, 3D Geometry],
16-11-19-B, Q30,,4,1,[4,3,4,3,4,4,5,4,4,4, 3], [Functions, Local Extrema, Optimization],
