testID, questionID, MC, POINTS, CORRECT, gptRATE, gptTOPIC,,,,,,,,,,,,,,
23-11-20-A, Q1,,2,1,[2,3,4,1,5,2,5,2,3,3, 3], [Radicals, Exponents, Multiplication],,
23-11-20-A, Q2,,2,1,[4,4,5,3,4,3,5,4,4,3, 4], [Limits, Polynomial Functions, Derivatives],,
23-11-20-A, Q3,,3,1,[4,4,5,3,4,3,5,4,4,3, 4], [Trigonometric Functions, Angles, Tangent],,
23-11-20-A, Q4,,3,1,[4,4,5,3,4,3,5,3,4,3, 4], [Piecewise Functions, Continuity, Algebra],,
23-11-20-A, Q5,,3,1,[4,4,5,3,4,3,5,3,4,3, 4], [Polynomial Functions, Differentiation, Integration],,
23-11-20-A, Q6,,3,0,[5,5,5,4,3,4,5,4,5,3, 5], [Geometric Sequences, Series, Algebraic Manipulation],,
23-11-20-A, Q7,,3,1,[4,4,5,3,4,3,5,4,4,3, 4], [Differentiation, Polynomial Functions, Critical Points],,
23-11-20-A, Q8,,3,1,[5,5,5,3,4,3,5,4,5,2, 4], [Cubic Functions, Integrals, Symmetry],,
23-11-20-A, Q9,,4,1,[4,4,5,3,5,3,5,4,4,3, 4], [Logarithms, Ratios, Algebraic Manipulation],,
23-11-20-A, Q10,,4,0,[5,5,5,4,4,4,5,4,5,3, 5], [Kinematics, Derivatives, Integration, Motion Analysis],
23-11-20-A, Q11,,4,0,[5,5,5,4,3,4,5,4,5,2, 5], [Arithmetic Sequences, Series, Algebraic Manipulation],,
23-11-20-A, Q12,,4,1,[5,5,5,4,4,3,5,4,5,3, 5], [Piecewise Functions, Optimization, Algebraic Manipulation],,
23-11-20-A, Q13,,4,0,[5,5,5,4,4,4,5,4,5,3, 5], [Geometry, Trigonometry, Area, Circle, Sine Rule]
23-11-20-A, Q14,,4,0,[5,5,5,4,3,4,5,4,5,2, 5], [Piecewise Functions, Cubic Functions, Intersections, Limits, Algebra]
23-11-20-A, Q15,,4,0,[5,5,5,4,4,4,5,4,5,3, 5], [Sequences, Recursion, Algebraic Manipulation, Parity],
23-11-20-A, Q16,,3,1,[3,3,5,2,5,2,5,2,3,3, 4], [Exponents, Algebra, Logarithms],,
23-11-20-A, Q17,,3,1,[3,3,5,2,5,2,5,2,3,3, 4], [Differentiation, Polynomial Functions],,,
23-11-20-A, Q18,,3,1,[4,4,5,3,4,3,5,3,4,3, 4], [Sequences, Summation, Algebraic Manipulation],,
23-11-20-A, Q19,,3,0,[4,4,5,3,4,3,5,3,4,3, 4], [Trigonometric Functions, Inequalities, Algebraic Manipulation],,
23-11-20-A, Q20,,4,0,[5,5,5,4,3,4,5,4,5,3, 5], [Differentiation, Cubic Functions, Geometry, Tangent Lines, Circle Geometry]
23-11-20-A, Q21,,4,0,[5,5,5,4,3,4,5,4,5,3, 5], [Piecewise Functions, Logarithms, Optimization, Algebraic Manipulation],
23-11-20-A, Q22,,4,0,[5,5,5,4,3,4,5,4,5,3, 5], [Cubic Functions, Derivatives, Sign Analysis, Algebraic Manipulation],
23-11-20-A, Q23,,2,1,[2,1,5,1,5,5,5,5,3,5, 2], [Permutations, Combinatorics],,,
23-11-20-A, Q24,,3,1,[4,4,5,3,4,3,5,3,4,3, 4], [Probability, Set Theory, Conditional Probability],,
23-11-20-A, Q25,,3,0,[4,4,5,3,4,3,5,3,4,3, 4], [Combinatorics, Probability, Permutations, Sum Analysis],
23-11-20-A, Q26,,3,1,[4,4,5,3,4,3,5,3,4,3, 4], [Probability, Expected Value, Random Variables, Combinatorics],
23-11-20-A, Q27,,3,1,[5,5,5,3,4,3,5,3,5,3, 5], [Confidence Interval, Normal Distribution, Sample Mean, Statistical Inference],
23-11-20-A, Q28,,4,1,[4,5,5,3,4,3,5,3,5,4, 5], [Combinatorics, Conditional Probability, Probability Distribution, Ball Transfer Process],
23-11-20-A, Q29,,4,0,[3,5,5,2,4,3,5,3,4,3, 4], [Combinatorics, Inequalities, Counting],,
23-11-20-A, Q30,,4,0,[3,4,3,3,4,4,4,3,5,4, 4], [Probability, Normal Distribution, Z-Scores, Conditional Probability],
