testID, questionID, MC, POINTS, CORRECT, gptRATE, gptTOPIC,,,,,,,,,,,,,,
19-11-15-B, Q1,,2,1,[2,2,4,1,5,2,5,2,3,3, 3], [Exponents, Multiplication],,,
19-11-15-B, Q2,,2,1,[3,4,5,2,5,3,5,3,3,3, 4], [Set Theory, Algebra],,,
19-11-15-B, Q3,,2,1,[4,4,5,3,5,4,5,3,4,4, 4], [Limits, Algebra, Rational Functions],,
19-11-15-B, Q4,,3,0,[3,3,5,2,5,3,5,3,4,4, 4], [Functions, Function Composition],,,
19-11-15-B, Q5,,3,1,[4,4,5,3,5,3,5,3,4,4, 4], [Probability, Set Theory],,,
19-11-15-B, Q6,,3,1,[4,4,5,3,5,3,5,3,4,4, 4], [Algebra, Equations],,,
19-11-15-B, Q7,,3,1,[4,3,5,3,5,3,5,3,4,4, 4], [Functions, Inverse Functions, Algebra],,
19-11-15-B, Q8,,3,0,[4,4,5,3,5,4,5,3,4,4, 4], [Limits, Functions, Graphs],,
19-11-15-B, Q9,,3,1,[4,3,5,3,5,3,5,3,4,4, 4], [Probability, Conditional Probability],,,
19-11-15-B, Q10,,3,0,[5,4,5,4,5,4,5,3,5,5, 5], [Functions, Inverse Functions, Algebra],,
19-11-15-B, Q11,,3,1,[5,5,5,3,5,4,5,3,5,5, 5], [Calculus, Riemann Sums, Limits],,
19-11-15-B, Q12,,3,1,[5,4,5,4,5,4,5,3,5,5, 5], [Calculus, Derivatives, Optimization],,
19-11-15-B, Q13,,3,1,[5,3,5,3,5,3,5,3,4,4, 4], [Probability, Normal Distribution, Z-Scores],,
19-11-15-B, Q14,,4,0,[5,5,5,4,5,4,5,3,5,5, 5], [Polynomials, Limits, Algebra],,
19-11-15-B, Q15,,4,0,[4,4,5,3,5,3,5,3,5,4, 4], [Sequences, Arithmetic Sequences, Optimization],,
19-11-15-B, Q16,,4,1,[5,3,5,3,5,3,5,3,5,5, 5], [Probability, Random Variables, Variance, Expectation],
19-11-15-B, Q17,,4,0,[5,4,5,4,5,4,5,3,5,5, 5], [Number Theory, Divisors, Logarithms],,
19-11-15-B, Q18,,4,0,[5,5,5,4,5,4,5,3,5,5, 5], [Geometry, Sequences, Limits, Areas],
19-11-15-B, Q19,,4,1,[5,4,5,4,5,4,5,3,5,5, 5], [Combinatorics, Counting Principles],,,
19-11-15-B, Q20,,4,0,[5,4,5,4,5,4,5,3,5,5, 5], [Piecewise Functions, Continuity, Differentiability, Polynomials],
19-11-15-B, Q21,,4,0,[5,4,5,4,5,4,5,3,5,5, 5], [Sequences, Recurrence Relations, Summation],,
19-11-15-B, Q22,,3,1,[3,3,5,2,5,2,5,1,5,5, 5], [Combinations, Permutations],,,
19-11-15-B, Q23,,3,1,[4,3,5,3,5,3,5,2,5,5, 5], [Sequences, Geometric Sequences, Algebraic Expressions],,
19-11-15-B, Q24,,3,1,[3,3,5,2,5,2,5,1,5,5, 5], [Probability, Binomial Distribution],,,
19-11-15-B, Q25,,3,1,[4,3,5,2,5,3,5,1,5,5, 5], [Polynomials, Remainders, Summation],,
19-11-15-B, Q26,,4,0,[4,4,5,3,5,3,5,2,5,5, 5], [Functions, Area, Absolute Value, Graphs],
19-11-15-B, Q27,,4,1,[3,3,5,2,5,3,5,3,4,4, 5], [Calculus, Velocity, Functions, Distance, Motion]
19-11-15-B, Q28,,4,1,[4,5,5,3,5,5,5,4,4,4, 5], [Integral Calculus, Polynomial Functions, Properties of Integrals],,
19-11-15-B, Q29,,4,0,[4,3,5,3,5,4,4,4,5,5, 4], [Combinatorics, Stars and Bars, Conditional Counting],,
19-11-15-B, Q30,,4,0,[4,4,5,3,5,4,4,3,5,5, 4], [Cubic Functions, Roots of Equations, Derivatives, Function Evaluation],
