testID, questionID, MC, POINTS, CORRECT, gptRATE, gptTOPIC,,,,,,,,,,,,,,
20-12-04-A, Q1,,2,1,[3,3,5,1,5,3,5,3,4,2, 3], [Roots, Exponents, Simplification]  ,,
20-12-04-A, Q2,,2,1,[4,4,5,2,4,5,5,4,5,4, 4], [Limits, Algebraic Simplification, Rationalization]  ,,
20-12-04-A, Q3,,2,0,[3,3,5,2,5,4,5,3,3,3, 3], [Trigonometry, Sine, Tangent, Pythagorean Identity]  ,
20-12-04-A, Q4,,3,1,[4,4,5,2,5,4,5,4,5,3, 4], [Probability, Conditional Probability, Set Operations]  ,,
20-12-04-A, Q5,,3,1,[4,4,5,3,5,3,5,4,4,3, 4], [Inequalities, Exponents, Algebraic Manipulation]  ,,
20-12-04-A, Q6,,3,1,[3,3,5,2,5,3,5,4,4,3, 3], [Statistics, Expectation, Standard Deviation, Central Limit Theorem]  ,
20-12-04-A, Q7,,3,1,[4,4,5,3,4,4,5,4,4,3, 4], [Calculus, Derivatives, Optimization]  ,,
20-12-04-A, Q8,,3,1,[4,4,5,3,5,4,5,4,5,2, 4], [Integration, Exponential Functions, Area Under a Curve]  ,,
20-12-04-A, Q9,,3,1,[4,4,5,2,5,4,5,3,5,3, 4], [Probability, Combinatorics, Conditional Probability]  ,,
20-12-04-A, Q10,,3,1,[4,4,5,3,5,4,5,4,5,3, 4], [Trigonometry, Triangle Properties, Circumradius, Law of Sines]  ,
20-12-04-A, Q11,,3,0,[4,4,5,3,5,4,5,4,5,3, 4], [Limits, Sums, Riemann Sums, Asymptotic Analysis]  ,
20-12-04-A, Q12,,3,0,[5,4,5,3,4,5,5,4,5,3, 4], [Probability, Normal Distribution, Z-scores, Transformation of Variables]  ,
20-12-04-A, Q13,,3,0,[5,4,5,3,5,5,5,4,5,3, 5], [Logarithms, Geometry, Coordinate Geometry, Quadrilaterals]  ,
20-12-04-A, Q14,,4,1,[5,4,5,4,5,5,5,4,5,3, 5], [Geometry, Rectangles, Similarity, Limits, Recursive Areas]  
20-12-04-A, Q15,,4,1,[5,4,5,3,5,4,5,4,5,3, 5], [Differentiation, Integration, Function Relationships, Chain Rule]  ,
20-12-04-A, Q16,,4,0,[5,5,5,4,5,5,5,4,5,4, 5], [Sequences, Arithmetic Progression, Geometry, Differentiation, Area Calculation]  
20-12-04-A, Q17,,4,1,[5,4,5,3,5,4,5,3,5,4, 5], [Probability, Random Variables, Expectation, Distance from a Line]  ,
20-12-04-A, Q18,,4,0,[5,4,5,3,5,4,5,3,5,4, 5], [Limits, Function Composition, Algebraic Manipulation, Real Analysis]  ,
20-12-04-A, Q19,,4,0,[5,4,5,3,5,5,5,3,5,4, 5], [Probability, Dice Rolling, Random Variables, Combinatorics]  ,
20-12-04-A, Q20,,4,0,[5,4,5,3,5,4,5,3,5,4, 5], [Function Analysis, Continuity, Integration, Piecewise Functions]  ,
20-12-04-A, Q21,,4,0,[5,4,5,3,5,5,5,4,5,4, 5], [Recursion, Sequences, Algebraic Manipulation]  ,,
20-12-04-A, Q22,,3,1,[3,3,5,2,5,3,5,3,4,3, 3], [Binomial Expansion, Algebra]  ,,,
20-12-04-A, Q23,,3,0,[3,3,5,2,5,3,5,3,4,3, 3], [Derivatives, Rational Functions, Limits]  ,,
20-12-04-A, Q24,,3,0,[4,4,5,4,5,3,4,4,4,4, 3], [Geometry, Trigonometry, Area Calculation]  ,,
20-12-04-A, Q25,,3,0,[4,3,5,3,5,4,3,4,4,4, 3], [Arithmetic Sequences, Summation, Linear Expressions]  ,,
20-12-04-A, Q26,,4,1,[4,3,5,2,5,3,4,4,4,4, 3], [Combinatorics, Permutations, Arrangements]  ,,
20-12-04-A, Q27,,4,0,[4,3,5,2,5,3,4,4,4,4, 3], [Logarithms, Inequalities, Natural Numbers]  ,,
20-12-04-A, Q28,,4,0,[4,3,5,2,5,3,4,4,4,4, 3], [Composite Functions, Inverses, Differentiability]  ,,
20-12-04-A, Q29,,4,0,[4,3,5,2,5,3,4,4,5,4, 5], [Combinatorics, Partitioning, Constraints]  ,,
20-12-04-A, Q30,,4,0,[4,5,5,3,5,5,4,4,5,4, 5], [Cubic Functions, Extremes, Trigonometric Functions, Algebra],
