testID, questionID, MC, POINTS, CORRECT, gptRATE, gptTOPIC,,,,,,,,,,,,,
17-11-24-B, Q1,,2,1,[2,3,5,2,5,1,5,2,3,1, 2], [Vector Addition, Arithmetic Operations],,
17-11-24-B, Q2,,2,1,[4,4,5,3,5,3,5,4,4,3, 4], [Limits, Logarithmic Functions, Exponential Functions],
17-11-24-B, Q3,,2,1,[3,4,5,3,5,2,5,3,3,2, 3], [Coordinate Geometry, Section Formula],,
17-11-24-B, Q4,,3,1,[3,3,5,3,5,2,5,3,3,2, 3], [Probability, Set Theory],,
17-11-24-B, Q5,,3,1,[3,4,5,3,5,3,5,4,4,2, 4], [Functions, Exponential Functions, Optimization],
17-11-24-B, Q6,,3,1,[4,3,5,3,5,3,5,4,3,2, 4], [Binomial Theorem, Polynomial Expansion],,
17-11-24-B, Q7,,3,1,[4,4,5,3,5,3,5,3,4,3, 4], [Trigonometric Equations, Algebraic Manipulation],,
17-11-24-B, Q8,,3,1,[4,4,5,3,5,3,5,4,4,3, 4], [Ellipses, Conic Sections, Geometry],
17-11-24-B, Q9,,3,1,[4,4,5,3,5,3,5,4,4,3, 4], [Differentiation, Limits, Quotient Rule],
17-11-24-B, Q10,,3,1,[3,3,5,4,5,3,5,4,4,2, 4], [Probability, Normal Distribution, Central Limit Theorem],
17-11-24-B, Q11,,3,1,[4,4,5,3,5,3,5,4,4,3, 4], [Inverse Functions, Differentiation, Product Rule],
17-11-24-B, Q12,,3,0,[5,4,5,4,5,4,5,5,4,3, 5], [Definite Integrals, Area between Curves, Exponential Functions],
17-11-24-B, Q13,,3,1,[3,3,5,3,5,2,5,3,3,2, 3], [Probability, Combinatorics, Conditional Probability],
17-11-24-B, Q14,,4,0,[5,4,5,4,5,4,5,5,4,3, 5], [Trigonometry, Geometry, Vectors],
17-11-24-B, Q15,,4,0,[5,4,5,3,5,3,5,5,4,3, 5], [Integration, Composite Functions, Logarithmic Functions],
17-11-24-B, Q16,,4,1,[5,4,5,3,5,3,5,4,4,3, 5], [Parametric Equations, Velocity, Trigonometry],
17-11-24-B, Q17,,4,0,[5,5,5,4,5,4,5,5,4,3, 5], [Geometry, Limits, Trigonometry],
17-11-24-B, Q18,,4,0,[4,3,5,3,5,2,5,4,4,2, 4], [Combinatorics, Counting Principles],,
17-11-24-B, Q19,,4,0,[5,5,5,4,5,3,5,5,4,3, 5], [Probability, Combinatorics, Random Variables],
17-11-24-B, Q20,,4,1,[5,5,5,4,5,4,5,5,4,3, 5], [Geometry, Planes, Distance in 3D Space],
17-11-24-B, Q21,,4,0,[5,4,5,4,5,3,5,5,4,3, 5], [Piecewise Functions, Differentiation, Optimization],
17-11-24-B, Q22,,3,0,[1,1,5,1,5,1,5,1,1,1, 5], [Combinatorics, Binomial Coefficients],,
17-11-24-B, Q23,,3,1,[2,3,5,1,5,1,5,4,1,3, 5], [Differentiation, Logarithmic Functions],,
17-11-24-B, Q24,,3,0,[4,4,5,2,5,2,5,4,3,3, 5], [Implicit Differentiation, Tangent Lines],,
17-11-24-B, Q25,,3,1,[3,3,5,2,5,3,5,4,3,3, 5], [Coordinate Geometry, Line Equation, Perpendicular Vectors],
17-11-24-B, Q26,,4,0,[5,5,5,3,5,3,5,5,4,4, 5], [Probability, Normal Distribution, Z-Scores],
17-11-24-B, Q27,,4,0,[4,5,5,3,5,3,5,5,4,4, 5], [Conic Sections, Hyperbolas, Geometry, Tangents]
17-11-24-B, Q28,,4,0,[5,4,5,2,5,4,5,4,4,5, 4], [Combinatorics, Probability, Algebra, Polynomials]
17-11-24-B, Q29,,4,0,[4,3,5,3,5,4,5,3,4,3, 3], [Geometry, Analytical Geometry, Trigonometry],
17-11-24-B, Q30,,4,0,[4,5,5,4,5,4,5,3,4,4, 3], [Calculus, Integrals, Trigonometry, Piecewise Functions]
